"ID","Name","Troop Type","Type","Area of Effect","Duration","Cooldown","Restriction","Condition","Mana Cost","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Water Damage Extra","Air Damage Extra","Earth Damage Extra","Poison Damage Extra","Magic Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Action","Ruleset"
192,"Sacrifice Choosing",0,0,1,,,,,,50,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,84,,2
193,"Indictment",0,0,1,,,,,,58,,,,,,,,,,0,0,,,,,150,,,,,,,,,,3,,85,,2
194,"Massacre",0,0,2,10,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,2
195,"Swift Chant",0,0,1,,,,,,70,,,,,,,,,,0,0,,,,,,,,,,,,,60,,,,,,2
196,"Sneaky Ambush",1,0,,,,"0,1,3,5,7",,,,,,,,75,,,,,0,0,,,,,,,,,,,,,,0,5,,,,2
197,"Guiding Wind",0,1,,,,11,11,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,2
198,"Corrupted Mist",0,0,3,,,,,,30,40,,,,,,,,,0,0,,0,0,,0,,,,,140,,,0,5,5,0,,,2
199,"Vacillation Influence",0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,2
200,"Fantasy Imagination",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"Corpse Burst",0,0,2,1,300,10,10,,35,60,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,3,0,,,2
202,"Carbidarleht Piper",0,0,4,60,60,0,0,0,65,5,125,125,125,125,125,125,125,125,0,0,-0.5,25,-5,,0,,,,,,,,0,0,0,0,0,"Play,repeat",2
203,"Spider Web Shot",0,1,1,1,60,10,10,0,20,20,,,,,,,,,0,0,0,0,0,,0,,,,,,,,0,5,3,0,"24,36",,2
204,"Aging Touch",0,0,1,1,100,10,10,,40,60,,,,,,,,,0,0,0,0,0,,0,,,,,,,,0,10,5,0,45,,2
205,"Ashen Rising",0,0,1,20,10000,100,100,,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,87,0,,2
206,"Chain Lightning Strike",0,0,3,1,300,10,10,15,,100,,,,,,,,,0,0,0,0,0,,,,,200,,,,,0,0,0,0,23,,2
207,"Silencing Glare",0,0,1,50,500,10,10,,25,20,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,1,0,8,"Stare",2
208,"Deathshriek",0,0,3,1,60,10,10,,26,50,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,10,0,0,"Shout",2
209,"Abyssal Hatred",0,0,3,15,,10,10,,40,,,,,,,,,,0,0,,0,0,,,,,,,,,,0,0,5,0,0,,2
210,"Flying",0,0,1,,30,"0,1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7,8,9,10",,70,30,,,,,,,,,0,0,-1,0,0,,,,,,,,,,0,0,0,39,0,,2
211,"Floating",0,0,1,,30,"0,1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7,8,9,10",,,,,,,,,,,,0,0,-1,0,0,,,,,,,,,,0,0,0,40,0,,2
212,"Spellbind",0,0,1,30,,,,,65,10,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,"8,69",,2
213,"Petrifying gaze",0,0,1,,600,10,10,,28,25,,,,,,,,,0,0,-10,0,0,,,,,,,,,,0,4,4,0,35,"Stare",2
214,"Hide In The Shell",0,0,1,60,300,10,10,,10,10,0,200,200,0,,,,,200,0,0.5,0,0,,,,,,,,,,0,0,0,0,0,"Hide,repeat",2
215,"Baledarnnian",0,0,,,,,,,,,,,,,70,,200,,0,0,,0,0,,,,,,,,,,0,,,0,,,2
216,"Delrmerh Festival",1,0,3,20,,10,10,,80,,,,,,,,,,0,0,,150,0,,,,,,,,,,0,,,3,2,,2
217,"Fullmoon Strike",1,0,3,1,,10,10,,60,,,,,,,,,,0,0,,175,0,,,,,,,,,,0,,,0,,,2
218,"Halfmoon Slit",1,0,2,1,,10,10,,70,,,,,,,,,,0,0,,150,0,,,,,,,,,,0,,,0,,,2
219,"Crescentmoon Pierce",1,0,1,1,,10,10,,80,,,,,,,,,,0,0,,150,0,,,,,,,,,,0,,,0,,,2
220,"Darkmoon Ritual",1,0,1,1,,10,10,,90,,,,,,,,,,0,0,,200,0,,,,,,,,,,0,,,0,,,2
221,"Stun Strike",0,0,1,1,60,10,10,,50,50,,,,,,,,,0,0,0,0,0,,60,,,,,,,,0,0,0,0,23,,2
222,"Eight Gates Of Heaven",0,0,1,,6000,10,10,,100,30,,,,,,,,,0,0,-1,,,,,,,,,,,,,0,0,74,,,2
223,"Great Hunt Of The Sentinels",0,0,,300,,,,,60,25,110,,,120,140,,,,0,,,30,,,,,,,,,,,,0,0,,,,2
224,"Sunstrike",0,0,1,1,120,10,10,,50,60,,,,,,,,,0,0,-10,0,0,,,160,,,,,,,0,0,3,0,7,,2
225,"For Ancestor!",1,2,2,10,5,"4,10","4,10",0,10,10,,,,115,,,,,-10,0,-3,20,0,110,,,,,,,,,0,0,0,0,0,"Charge,repeat",2
226,"Malabel Igiela",3,2,1,10,5,"4,10","4,10",0,10,10,130,120,120,120,,,,150,20,0,-3,10,0,,,,,,,,,,0,0,5,1,0,"Charge,repeat",2
227,"Charge Of Regret",0,2,1,10,5,"4,10","4,10",0,10,10,,,,,,,,130,0,0,-2,30,0,,,,,,,,,,0,0,1,2,2,"Charge,repeat",2
228,"Giant Rush",1,2,2,10,5,"4,10","4,10",0,10,10,,,,110,,,,,0,0,-1.5,0,0,,,,,,,,,,0,0,6,0,4,"Charge,repeat",2
229,"Astral Projection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
