"ID","Name","Description","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10","para11","para12","para13","para14","para15","para16"
"NOR-29","Gerbod the Fleming","Gerbod the Fleming was a Frankish noble (tenants-in-chief) from Flanders. He participated in the Battle of Hastings and was rewarded the Earl of Chester title. However, the man had no shortage of misfortune. He lost a portion of his holdings due to a series of political events in the same year and the Earl title after he was captured by his enemies in the Battle of Cassel in Flanders. His fate became uncertain afterwards, some said he escaped from captivity and became a monk, while others said he died a prisoner.","Gerbod the Fleming, or Gherbod of St.Omer, was born around 1030 AD from a father of the same name, a hereditary advocate of the abbey of Saint-Bertin. The son inherited the lands in Flanders after his father's death. He joined William of Normandy in the Invasion of England and possibly the battle that ended Harold Godwinson, although no solid evidence can be found to support this assumption. ","After the invasion, Gerbod was awarded the lands in Chester with the newly created title Earl of Chester, while His sister, Gundred of St. Omer, was married to William of Warenne and became the Countess of Surrey. Gerbod rule in Chester was not an easy one as the English and Welsh lords alike continuously raided the earldom and caused troubles to no end. For whatever reason, Gerbod travelled back to Flander in 1070 AD. He joined in the Flander civil war after the death of Baldwin VI the Good, Count of Flanders.","Fought on the side of Robert I of Flanders, Gerbod participated in the Battle of Cassel in 1071 AD. Two stories remained about his fate after the battle. The first is that although the battle was won, Gerbod was captured by the French and died in prison at some later time. The second says that Gerbod himself slain Arnulf III, Count of Flanders and fled to Rome to seek atonement for this killing. Regardless of the story, his absence made William the Conqueror transfer the unoccupied Earldom of Chester to  Hugh of Avranches.",,,,,,,,,,,,,
"NOR-30","Ralph of Gael","This was an English and Breton-born noble who led the last revolt of the earls against William of Normandy, the very last resistant of remaining Saxon lords against the encroaching grasp of Norman power in England. Ralph (Radulf) of Gael was a former ally of William and was likely to fight in the Battle of Hastings on the side of the Norman. Brave and confident, his resistant to William's rule lasted until the death of William himself.","Ralph of Gael, or Radulf Waders, was born around 1040 AD. Son of an English Earl father and Breton mother. He lived his childhood in England under the reign of Edward the Confessor. Not much else is recorded, only that he accompanied William of Normandy in his conquest of England and inherited the old holdings from his father. His holdings include estates in Norfolk and regions in West England. The Domesday book seems to suggest that he was one of the most influential lords in William's court.","Besides the invasion, Ralph was involved in various conflicts throughout his life. From the siege of the castle of Combourg in 1066 AD to the defence against Norsemen raiding Norfolk in 1069 AD. He married Emma, the only daughter of William FitzOsbern, in 1075 AD. Such marriage would unite the two of the most powerful English noble houses. This bold move did not elude William's political insight, for he rejected to sanction such marriage.","With William's absence in England, Ralph proceeded with the marriage anyway and, at the wedding feast, conspired with the two Saxon lords, his new brother-in-law Roger of Breteuil and Waltheof of Northumberland, to revolt against William's rule. The plan suffered a massive setback when Waltheof confessed to Lanfranc, the Archbishop of Canterbury. The archbishop then informed William the Conqueror and dissuaded Roger from the revolt. Waltheof was imprisoned and executed a year later by the order of William himself.","The execution later triggered another unrest and revolt by the English people, as Waltheof was beloved by many. With two primary conspirators gone, the revolt Ralph planned could not be executed. With the pursuit of Odo of Bayeux and Geoffrey of Montbray, Ralph fled to Denmark to call for aid while his wife stayed at Norwich to defend the castle. With the help of King Svend of Denmark, Ralph sailed back to England with 200 warships with prince Knud and Jarl Hakon. Ralph could not arrived in time as the Norwich castle surrendered, and his wife escaped to Brittany.","As revenge, Ralph and his Norseman friends pillaged the English lands and destroyed Norman Cathedral St Peter's Minster. Ralph later met with his wife in Brittany and continued to rule his remaining holdings. William, with his determination to crush all those who oppose him, summoned a fleet to invade Ralph's barony. With assistance from the King of France, Ralph drove William back to England with a crushing victory in 1077 AD. Although the two made peace, only after William's death could Ralph travel back to England in 1093 AD. ",,,,,,,,,,,
"NOR-31","Gilbert II Crispin","A member of the Crispin noble family from Normandy and a younger brother of William Crispin, both vassals of Duke William of Normandy. Gilbert II was already a noble with holdings in Tillières and followed his lord to invade England in 1066 AD. ",,,,,,,,,,,,,,,,
"NOR-32","William Crispin","A member of the Crispin noble family from Normandy and a long-time vassal of William of Normandy since his ascension as duke. William I Crispin, with his two younger brothers, Gilbert and Milo, were likely to be presented at the Battle of Hastings. All three Crispin brothers were rewarded with lands in England after the battle.","William I Crispin of Évreux was born no earlier than 1019 AD to unconfirmable parents. Some sources suggest that he was a child of Richard I, count of Évreux and Godechildis, while others suggest he was of Gilbert, Baron of Bec and Castellan of Tillières. A noble of birth, nevertheless, was a vassal of Duke William of Normandy. He participated in the Battle of Mortemer in 1054 AD against the Kingdom of France. His story is relatively unknown from that point forward. It is possible that he participated in the Battle of Hastings, but no direct evidence suggests as such besides the record written by Wace.","A mysterious man with no notable accomplishment in any battle afterwards, either in England or France. He was possibly a cousin to Turstin FitzRolf, the standard bearer. We only know that he was still living in 1082 AD, for his name was registered in the Abbeys of St. Stephen and the Holy Trinity, Caen, as a witness to the foundation charters by William the Conqueror. Although his name does not appear in the Domesday book suggests that he probably died soon after. ","What we do know and quite apparent is that William married Eva, the daughter of Simon de Montfort l'Aumary and sired a son, William II, who fought in the Battle of Bremule. His younger brother, Milo Crispin, became a very powerful Archbishop with a large number of holdings in England.",,,,,,,,,,,,,
"NOR-33","Henry of Ferrers",,,,,,,,,,,,,,,,,
"NOR-34","Roger of Beaumont",,,,,,,,,,,,,,,,,
"NOR-35","Alain Fergant",,,,,,,,,,,,,,,,,
"NOR-36","Guy of la Val II",,,,,,,,,,,,,,,,,
"NOR-37","Hamon of la Val",,,,,,,,,,,,,,,,,
"NOR-38","Guy of la Val III",,,,,,,,,,,,,,,,,
"NOR-39","Rogier of Montgomeri",,,,,,,,,,,,,,,,,
"NOR-40","Roger Bigod",,,,,,,,,,,,,,,,,
"NOR-41","Richard of Courcy",,,,,,,,,,,,,,,,,
"NOR-42","William of Aubigny",,,,,,,,,,,,,,,,,
"NOR-43","William of Vieuxpont",,,,,,,,,,,,,,,,,
"NOR-44","Raoul II of Taisson",,,,,,,,,,,,,,,,,
"NOR-45","William of Molins",,,,,,,,,,,,,,,,,
"NOR-46","Hugh III of Gournay",,,,,,,,,,,,,,,,,
"NOR-47","William I of Moyon",,,,,,,,,,,,,,,,,
"NOR-48","Eudo al Chapel",,,,,,,,,,,,,,,,,
"NOR-49","Fulk of Aulnay",,,,,,,,,,,,,,,,,
"NOR-50","Robert I FitzErneis",,,,,,,,,,,,,,,,,
"NOR-51","Richard of Neville",,,,,,,,,,,,,,,,,
"NOR-52","Niel II of Saint-Sauveur",,,,,,,,,,,,,,,,,
"NOR-53","Ralph FitzGerald",,,,,,,,,,,,,,,,,
"NOR-54","Walter of Lacy ",,,,,,,,,,,,,,,,,
"NOR-55","Ilbert of Lacy ",,,,,,,,,,,,,,,,,
"NOR-56","Robert of Vassy",,,,,,,,,,,,,,,,,
"NOR-57","Ivo of Vassy",,,,,,,,,,,,,,,,,
"NOR-58","Robert Marmion",,,,,,,,,,,,,,,,,
"NOR-59","William of Percy",,,,,,,,,,,,,,,,,
"NOR-60","William Patrie",,,,,,,,,,,,,,,,,
"NOR-61","William Avenel",,,,,,,,,,,,,,,,,
"NOR-62","Bernard of St.Valeri",,,,,,,,,,,,,,,,,
"NOR-63","Robert of Oyly",,,,,,,,,,,,,,,,,
"NOR-64","Jean of Ivri",,,,,,,,,,,,,,,,,
"NOR-65","Raoul of Fougeres",,,,,,,,,,,,,,,,,
"NOR-66","Errand of Harcourt",,,,,,,,,,,,,,,,,
"NOR-67","William Painel",,,,,,,,,,,,,,,,,
"NOR-68","Avenel of Biarz",,,,,,,,,,,,,,,,,
"NOR-69","Robert Bertram the Crooked",,,,,,,,,,,,,,,,,
"NOR-70","Walter of Aincourt",,,,,,,,,,,,,,,,,
"NOR-71","Samson of Ansneville",,,,,,,,,,,,,,,,,
"NOR-72","Hamo of Crevecceur",,,,,,,,,,,,,,,,,
"NOR-73","Picot of Say",,,,,,,,,,,,,,,,,
"NOR-74","Hugh of Port",,,,,,,,,,,,,,,,,
"NOR-75","William Paverel",,,,,,,,,,,,,,,,,
"SAX-1","Harold Godwinson","The Saxon king of England, Harold Godwinson is the rightful heir of Edward the Confessor (at least according to himself). Originally the Earl of East Anglia, Harold was already extremely influential person long before his kingship. His short reign of one year as the last Saxon king was nothing short of troubling, having to defend against both invasions from Norse and Norman in the same year. He and his two brothers were killed in the Battle of Hastings thus signal the new reign of Norman in Albion.","Harold II of house Godwinson, son of Godwin of Wessex and Gytha, was born in 1022 AD. House Godwinson was already one of the most powerful families in England, controlling the majority of the south-eastern part of the country. In 1044 AD, his father obtained and bestowed the Earldom of East Angelia to him. Harold also married Edith the Fair at around this time, the marriage was considered to be controversial as many scholars still debated whether the church considered it to be illegitimate or not.","In 1051 AD, Harold's father rebelled against Edward the Confessor for refusing to obey the royal decree to punish the people of Dover who attack Eustace II during his visit. The rebellion failed and his whole family was exiled from England in the same year. Harold and his younger brother, Leofwine, fled to Dublin while the rest of the family sought refuge in Flender. A year later, Harold and his family returned to England with an army and forced Edward to restore the lost earldom to his father, thus restoring the power of Godwinson.","After his father died suddenly in 1053 AD, Harold inherit the Earldom of Wessex and became the most powerful political figure in England, second only to the king himself. In 1057 AD, the death of Leofric and other political rivals allowed Harold to obtained the Earldom of Mercia and Northumbria for his two younger brothers. Godwinson family was no doubt the most powerful house in Saxon England at the time. Even more so as Harold also strengthen the alliance with other powerful Saxon nobles.","Harold also emerge victorious against the Welsh multiple times both in defensive and offensive campaigns, which strengthened his political position even further. In 1064 AD, the Norman chronicle recounted that Harold was sent by Edward to inform William the Bastard of the decision to make William the King of England. The ship Harold was on then got shipwrecked and he got captured by William's vassal. Harold was later released and welcomed by William at the Normandy's court.","With Edward's death In 1066 AD, Harold claimed that Edward on his deathbed appointed Harold as the ""protector"" of the kingdom. Harold was then elected as King in the noble council meeting the following day after. Soon after the news of coronation spread, William and  Harald III Hardraade of Norway began planning their own invasions to claim the throne for themselves. Moreover, his previously exiled brother, Tostig Godwinson, also started the rebellion for revenge in the north.","{IMAGE:ruleset\historical\leader\lore_image\harold_1.png}","                                                                                                                                                                                                                                                                                                         Picture above: Harold swore his fealty and pledged his support to William's inheritance for King of England after his release.                                                                           Picture below: Harold being crowned King of England at Winchester Abbey by the archbishop of York.","{IMAGE:ruleset\historical\leader\lore_image\harold_2.png}","Harold managed to fended off Tostig's initial raids on mutiple regions of England. Before Harald Hardrada's force arrived, Tostig move his raiding target to the northern part of the country. While, Harold still positioned his army in the southern part waiting for William's force to arrived. With the news that Tostig and Harald joined forced, captured York and defeated a local army in the Battle of Fulford, Harold rushed his army up north from London.","Harold's army marched to Yorkshire in 4 days and caught Harald and Tostig' combined force by surprise at Stamford Bridge. According to a Norwegian source, Harold himself rode to Harld and Tostig alone before the battle to convince Tostig to return to his side. The battle began with the English army attempting to cross the bridge, while the Norwegian force start preparing for battle and a lone Norse warrior single-handedly delay the English crossing.","When the English managed to cross the bridge, only a portion of the Norse army managed to form a shield wall and most of them left their armour behind. The battle consisted of the two forces locking in a shield wall engagement for hours. With massive disadvantage, the Norse infantries broke first with both Harald and Tostig killed in the battle subsequently. Although the Norse reinforcement managed to arrive before the battle ended, they were of not much help and could not change the outcome of the battle. ","Although victorious, Harold needed to march his army to the south to fight against the second invasion force led by William. The forced march was so taxing that a good portion of the army was left behind on the way. Upon reaching Hastings, Harold camped his force at Caldbec Hill and his troops held a feast for an entire night to prepare for the upcoming battle. In the early morning, Harold marched his force with the plan to catch William's army off-guard similar to the prior battle but failed. The Battle of Hastings commenced and ended with his death. ","{IMAGE:ruleset\historical\leader\lore_image\harold_2.png}","Picture: Harold shot by an arrow through the eye in the midst of the battle.",,
"SAX-2","Gyrth Godwinson","Gyrth Godwinson was the younger brother of Harold Godwinson, King of England. Godwinson was one of the most powerful houses during the reign of Edward the Confessor, Gyrth himself hold multiple Earldom in East England along with his brothers. Along with his brothers, Gyrth commanded a significant portion of the Saxon army in the Battle of Hastings. It is believed that Gyrth is killed by William the Conqueror himself in personal combat as recorded in multiple sources.","Gyrth Godwinson, son of Godwin of Wessex and Gytha, was born in 1032 AD. He was a younger brother of Harold Godwinson. He and his family were exiled for life by the order of King Edward the Confessor in 1051 AD. Gyrth and the rest of his family fled to Flanders, while Leofwine and Harold fled to Dublin. The Godwinson family returned to England again a few years later after Harold marched his army to forced King Edward to restore their former position and wealth.","After becoming an established and powerful family again, Harold made his brothers, Gyrth and Leofwine, the Earl of many important regions in the east of England. Gyrth was one of the members that joined Harold's march up north and participated in the Battle of Stamford Bridge in 1066 AD. Their victory and celebration over Harald Hardrada came to an abrupt end when the news of William of Normandy landing in the south came a few days later.","Gyrth again joined his brothers in the march to the Battle of Hastings with numerous of his Huscarl retinues and fyrd militias. It was written in several records that Gyrth personally got into argument with Harold several times before the battle took place trying to persuade his brother to not rush the army to intercept William's force and rather fight a defensive war and employ a scorch earth tactic. Further that Gyrth attempt to discourage Harold from personally leading the army into combat.","It was told in the chronicles and stories that Gyrth personally killed William of Normandy's first warhorse in the chaotic combat but was quickly slain by the Duke shortly after. Gryth and his two brothers fell in the battle and cause panic among the troops, sealing the destiny of Saxon England forever. With no leader left to assume the role of commander, Saxon's army fled the battle while the remaining Huscarls fought to avenge their lord until the last breath.","{IMAGE:ruleset\historical\leader\lore_image\godwinson_1.png}","Picture: Death of Gyrth and Leofwine in the Battle of Hastings.",,,,,,,,,,
"SAX-3","Leofwine Godwinson","Leofwine Godwinson was the younger of Harold Godwinson and Earl of multiple regions in East England. Having followed Harold throughout his life, it is interesting to note that Leofwine and the other brother did not fight in the Battle of Stamford Bridge. Nevertheless, Leofwine along with his two brothers fought and perished in the Battle of Hastings.","Leofwine Godwinson, son of Godwin of Wessex and Gytha, was born in 1035 AD. He was a younger brother of Harold Godwinson. Not much is known about his childhood only except that when the Godwinson family was exiled in 1051 AD, Leofwine accompanied Harold to Ireland and help to gather an army to invade England in the following year. After his father died in 1053 AD, Leofwine became one of the most powerful noblemen during Godwinson's rule as the Earl of East England regions.","Leofwine did not participate in the Battle of Stamford Bridge against Harold Hadrada but accompanied his brother to intercept William of Normandy invasion at Senlac hill and participated in the Battle of Hastings as one of the commanders in 1066. Not much else was recorded of his accomplishment during the battle except that he was killed alongside two of his brothers before the battle ended in Saxon's defeat. Interestingly, the record of his death in battle is somewhat obscured. While some sources suggest that Leofwine command part of the army further from his two brothers, William of Poitiers and the Bayeux Tapestry seem to suggest that the he and his brother, Gyrth, died near each other.",,,"{IMAGE:ruleset\historical\leader\lore_image\godwinson_1.png}","Picture: Death of Gyrth and Leofwine in the Battle of Hastings.",,,,,,,,,,
"SAX-4","Godric of Berkshire","Godric was a Saxon sheriff of Berkshire who fought in the Battle of Hastings on the side of Harold Godwinson's army. Not much is known about Godric beside his land ownership and title from the Domesday Book. But according to the chronicle of the monastery of Abingdon, he was part of a few named individuals killed during the battle.","Godric of Berkshire was a high sheriff from Berkshire. According to the survival record of his landownership, Godric was one of the more wealthy and powerful landowners/nobles with several holdings in various regions. He accompanied Harold Godwinson in the Battle of Hastings and died in combat and his possessions became invalid for this treason when William the Conqueror became the King of England.",,,,,,,,,,,,,,,
"SAX-5","Thurkill","Thurkill was one of the landowners or thanes who participated in the Battle of Hastings on Harold Godwinson's side. Most of the thanes were the leader of the Fyrd militias, while the noble led alongside the Huscarls. Thurkill, along with many other unnamed thanes and nobles, perished in the battle along with their kings. Thus, leaving a vast amount of land to be claimed as war spoil by William the Conqueror. ",,,,,,,,,,,,,,,,
"SAX-6","Edric the Deacon","Edric the Deacon was a landowner (thane) from Suffolk who joined Harold Godwinson in the Battle of Hastings and perished along with many others. Besides his ownership evident from Domesday book, which also indicates his death, not much else is known.",,,,,,,,,,,,,,,,
"SAX-7","Breme","Another landowner (thane) from Suffolk who joined Harold Godwinson in the Battle of Hastings. Breme along with Thurkill and Edric the Deacon are one of many thanes who perished in the battle.",,,,,,"Odo of Bayeux born in 1036 AD, son of Herluin of Conteville and Herleva, William the Conqueror's mother. Being half-brother to William makes Odo, one of the most prominent companions of William throughout his life. Not much else is known about the activities in his early life, he was a Christian cleric and became bishop of Bayeux in 1049 AD. He was the main figure who participate in the war council for the invasion of England and served as the closest advisor to William.",,,,,,,,,,
"SAX-8","Aelfwig of New Minster","Aelfwig was an abbot (head of a monastery) of New Minster during the Invasion of England. He and twelve fellow monks joined Harold's force in the Battle of Hastings. Equipped with monk robe and chainmail, they are no doubt one of the literal warrior monks one often seen in a fictional story. Aelfwig was, unfortunately, one of the few named individuals that perished on Senlac Hill, likely along with his fellow monks.","Aelfwig of New Minster was believed to be a brother of Earl Godwine of Wessex and therefore uncle of Harold Godwinson. He became the abbot of New Minster in 1063 AD. Not much information is available about him except that he and twelve other monks participated in the Battle of Hastings on the side of Harold's force and perished in combat similar to other named individuals who fought valiantly for the cause and loyalty.",,,,,,,,,,,,,,,
"SAX-9","Aelfric","Aelfric was a landowner (thane) from Huntingdonshire who participated in  Battle of Hastings on the side of Harold Godwinson. He perished along with many others that day. ",,,,,,,,,,,,,,,,
"SAX-10","Son of Helloc","An unnamed warrior who was recorded to fight on the side of Harold Godwinson in the Battle of Hastings. He was believed to be a Huscarl of Gyrth Godwinson who managed to kill William of Normandy second horse in the battle with a javelin. He was then cut down by William himself who proceeded to rush into the Saxon rank with rage after two of his warhorses fell.",,,,,,,,,,,,,,,,
"NK-1","Thutmose III","Pharaoh Thutmose III of the New Kingdom was one of the greatest Pharoah in Ancient Egypt history. He expanded his empire into from Nubia to Syria in 20 successful military campaigns. The Battle of Megiddo against Canaan city-states was his first campaign. Excel in both government and military, his rule developed the New Kingdom into the world first superpower that no country could rival it.","Thutmose III, son of Thutmose II and his second wife Iset, was born around 1504 BC. With his father early death at the age of 31, Thutmose III became the sixth Pharaoh of the New Kingdom at the age of 2. Because of his young age, his stepmother, Hatshepsut, was first crowned as the fifth Pharoah regent until Thutmose III reached around twenty years of age when Hatshepsut died. Thutmose III was considered a military genius by many historians with the nickname ""the Napoleon of Egypt"" for his grandiose accomplishment.","When Thutmose III was around the age of 21, the Canaanite city-states formed an alliance and start a rebellion against their Egyptian master. Led by the unnamed King of Kadesh, the Canaanite alliance mustered an army at the City of Megiddo. Thutmose III started his first-ever military campaign by marching his army to the city and thus start the Battle of Megiddo. The battle ended with Egyptian victory and surrender of the Canaanite alliance after the long Siege of Megiddo.","The first campaign was a turning point for the New Kingdom's prosperity as all of the Canaan city-states were again reinstate as vassals and contribute greatly to the empire's wealth. Thutmose III then continued to campaign against the remaining Canaan and Syrian city-states for another 20 years at a total of 14 military campaigns. During his reign, Thutmose III also commissioned various temples and tombs such as Karnak temple and Lateran Obelisk.","With Canaan and Syria in his control, Thutmose III led his last 15th campaign against Nubia at around the age of 50 but could not completely conquer it. Thutmose III died in 1425 BC at the age of 56. His body was mummified and buried in the Valley of the Kings. His mummified body was severely damaged by grave robbers and later moved to the Boulak Museum of Egyptian Antiquities along with many other Pharoahs' bodies in modern time.",,,,,,,,,,,,
"CNA-1","King of Kadesh","An Unnamed King of Kadesh who led the city-states rebellion against the New Kingdom shortly after Pharaoh Thutmose III ascend to the throne. He and the other leaders of nearby Canaanites nation and tribe probably wait for the right moment to start this rebellion since the reign of the previous Pharoah Hatshepsut. Personally led the army in the Plain of Megiddo but lost against the brilliant military mind of Napoleon of Ancient Egypt. He and his allies surrendered after the Siege of Megiddo and sent the sons as a hostage to Egypt.",,,,,,,,,,,,,,,,
"CNA-2","Prince of Megiddo","An Unnamed Prince of Megiddo who participated in the rebellion against the New Kingdom along with other Canaanite city-states coalition. The prince took part in the Battle of Megiddo and fled from the field during the retreat. While his fate after the battle was not exactly recorded, it is reasonable to believe that Thutmose III might spare his life along with other rebellion leaders.",,,,,,,,,,,,,,,,
"HUN-1","Lajos II of Hungary",,,,,,,,,,,,,,,,,
"HUN-2","Pál Tomori",,,,,,,,,,,,,,,,,
"HUN-3","György Szapolyai",,,,,,,,,,,,,,,,,
"HUN-4","Stephen VII Báthory",,,,,,,,,,,,,,,,,
"HUN-5","Jován Cserni",,,,,,,,,,,,,,,,,
"HUN-6","Ferenc Perényi",,,,,,,,,,,,,,,,,
"HUN-7","Péter Perényi",,,,,,,,,,,,,,,,,
"HUN-8","Péter Bakić",,,,,,,,,,,,,,,,,
"HUN-9","Pavle Bakić",,,,,,,,,,,,,,,,,
"HUN-10","Radics Bosics",,,,,,,,,,,,,,,,,
"HUN-11","Ferenc Batthyány",,,,,,,,,,,,,,,,,
"HUN-12","Gáspár Ráskai",,,,,,,,,,,,,,,,,
"HUN-13","Bálint Török",,,,,,,,,,,,,,,,,
"HUN-14","János Kállai Vitéz",,,,,,,,,,,,,,,,,
"HUN-15","László Szalkai",,,,,,,,,,,,,,,,,
"HUN-16","Móré Fülöp of Pécs",,,,,,,,,,,,,,,,,
"HUN-17","Balázs Paksi of Győr",,,,,,,,,,,,,,,,,
"HUN-18","Ferencz Csáholi of Csanád",,,,,,,,,,,,,,,,,
"HUN-19","György Palinai of Bosnia",,,,,,,,,,,,,,,,,
"HUN-20","János Drágfi",,,,,,,,,,,,,,,,,
"HUN-21","Ferenc Ország",,,,,,,,,,,,,,,,,
"HUN-22","Péter Korlátkői",,,,,,,,,,,,,,,,,
"HUN-23","András Trepka",,,,,,,,,,,,,,,,,
"HUN-24","Tamás Szécsy",,,,,,,,,,,,,,,,,
"HUN-25","Gábor Perényi",,,,,,,,,,,,,,,,,
"HUN-26","Zsigmond Bánfy",,,,,,,,,,,,,,,,,
"HUN-27","Ferencz Hampó",,,,,,,,,,,,,,,,,
"HUN-28","János Batthyányi",,,,,,,,,,,,,,,,,
"HUN-29","István Schlick",,,,,,,,,,,,,,,,,
"HUN-30","Ferenc Balázsi",,,,,,,,,,,,,,,,,
"HUN-31","Miklós Tarczay",,,,,,,,,,,,,,,,,
"HUN-32","János Paksy",,,,,,,,,,,,,,,,,
"HUN-33","János Istvánfy",,,,,,,,,,,,,,,,,
"HUN-34","Imre Várady",,,,,,,,,,,,,,,,,
"HUN-35","Mihály Podmaniczky",,,,,,,,,,,,,,,,,
"HUN-36","György Orlovsics",,,,,,,,,,,,,,,,,
"HUN-37","István Aczél",,,,,,,,,,,,,,,,,
"HUN-38","Zsigmond Pogány",,,,,,,,,,,,,,,,,
"HUN-39","János Tornally",,,,,,,,,,,,,,,,,
"HUN-40","János Kállay",,,,,,,,,,,,,,,,,
"HUN-41","István Kállay",,,,,,,,,,,,,,,,,
"HUN-42","Miklós Forgács",,,,,,,,,,,,,,,,,
"HUN-43","Lenart Gnoiński",,,,,,,,,,,,,,,,,
"HUN-44","István Brodarics",,,,,,,,,,,,,,,,,
"HUN-45","Hannibal of Cyprus",,,,,,,,,,,,,,,,,
"HUN-46","Simon Horváth",,,,,,,,,,,,,,,,,
"HUN-47","Ambrus Sárkány",,,,,,,,,,,,,,,,,
"HUN-48","Antal Palóczi",,,,,,,,,,,,,,,,,
"HUN-49","Mátyás Czetrini",,,,,,,,,,,,,,,,,
"HUN-50","Frangepán",,,,,,,,,,,,,,,,,
"OTTO-1","Suleiman the Magnificent",,,,,,,,,,,,,,,,,
"OTTO-2","Pargalı Ibrahim Pasha",,,,,,,,,,,,,,,,,
"OTTO-3","Malkoçoğlu Bali Bey",,,,,,,,,,,,,,,,,
"OTTO-4","Gazi Hüsrev Bey",,,,,,,,,,,,,,,,,
"OTTO-5","Behram Pasha",,,,,,,,,,,,,,,,,
"OTTO-6","Sehagic Chieftain",,,,,,,,,,,,,,,,,
"TEST-1","Bowguy Deletelater",,,,,,,,,,,,,,,,,
"TEST-2","Testguy Deletelater",,,,,,,,,,,,,,,,,
"TEST-3","Cannonguy Deletelater",,,,,,,,,,,,,,,,,
"TEST-4","Hamster Man",,,,,,,,,,,,,,,,,
