"ID","Name","Buff Range","Buff Modifier","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Siege Effect","Sight Bonus","Hidden Bonus","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Earth Resistance Bonus","Poison Resistance Bonus","Magic Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Supply Effect","Upkeep Effect","Mental Bonus","Status","Enemy Status","Special Effect","Cost","Element","Type","Ruleset"
194,"Pathfinder",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,0
195,"Night Vision",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,2
196,"Heat Aura",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,80,30,,,0,0,0,,,,,2
197,"Cold Aura",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,30,80,,,0,0,0,,,,,2
198,"Pain Weakness",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
199,"Cold Exposure",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,-50,,,0,0,0,,,,"Debuff",0
200,"Heat Exposure",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-50,0,,,0,0,0,,,,"Debuff",0
201,"Fire Weakness",1,,,,,,,,,0,0,0,0,0,0,,,,0,-50,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
202,"Water Weakness",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,-50,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
203,"Air Weakness",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,-50,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
204,"Earth Weakness",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,-50,0,0,0,0,,,0,0,0,,,,"Debuff",2
205,"Fatigue Weakness",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
206,"Magic Weakness",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,-50,0,0,,,0,0,0,,,,"Debuff",2
207,"Poison Weakness",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,-50,0,0,0,,,0,0,0,,,,"Debuff",2
208,"Cowardice",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",0
209,"Treachery",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",0
210,"Sadism",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
211,"Masochism",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
212,"Loves Fear",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
213,"Seductive Charm",,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
214,"Disgusting Taste",,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
215,"Rusty And Dirty",,,,,,,,,,0,,,0,0,0,,,,-15,0,0,0,0,0,0,0,0,,,0,0,26,,,,,2
216,"Thrist For Blood",,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
217,"Tainted Blood",,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,90,,,,,2
218,"Acid Blood",,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,2
219,"Fantastic Beard",,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
220,"Hard Skull",,,,,,,,,,,,,0,0,0,,,,20,,,,,,,,,,,0,,0,,,,,2
221,"Brittle Bone",,,,,,,,,,,,,0,0,0,,,,-20,,,,,,,,,,,0,,0,,,,,2
222,"Stationary Placement",1,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,
223,"Mountain Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
224,"Hill Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
225,"Forest Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
226,"Cloud Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
227,"Desert Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
228,"Snow Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
229,"Water Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
230,"Plain Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
231,"Swamp Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
232,"Urban Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
233,"Blight Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
234,"Underground Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
235,"Night Stalking",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",0
236,"Ambush Expert",1,,,,,,,,,0,,,0,0,0,,,50,0,,,,,,,,,,,0,0,0,,,,"Buff",0
237,"Champion's Crest",1,,,,,,,,,0,,,0,0,0,,,,10,,,,,,,,,,,0,0,0,,,,"Buff",2
238,"Battle Frenzy",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
239,"Immune To Silence",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
240,"Immune To Blind",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
241,"Immune To Fear",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
242,"Immune To Magic",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,,100,,,,,0,0,0,,,,"Buff",2
243,"Immune To Air",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,100,0,0,0,0,0,,,0,0,0,,,,"Buff",2
244,"Immune To Fire",1,,,,,,,,,0,,,0,0,0,,,,0,100,0,0,0,0,0,100,0,,,0,0,0,,,,"Buff",2
245,"Immune To Water",1,,,,,,,,,0,,,0,0,0,,,,0,0,100,0,0,0,0,0,100,,,0,0,0,,,,"Buff",2
246,"Immune To Earth",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,100,0,0,0,0,,,0,0,0,,,,"Buff",2
247,"Immune To Decay",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,"Buff",
248,"Immune To Mind Magic",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
249,"Immune To Body Magic",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
250,"Immune To Manipulation Magic",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
251,"Immune To Poison",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,100,0,0,0,,,0,0,0,,,,"Buff",2
252,"Vulnurable To Air",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,-100,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
253,"Vulnurable To Fire",1,,,,,,,,,0,,,0,0,0,,,,0,-100,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
254,"Vulnurable To Water",1,,,,,,,,,0,,,0,0,0,,,,0,0,-100,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
255,"Vulnurable To Earth",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,-100,0,0,0,0,,,0,0,0,,,,"Debuff",2
256,"Vulnurable To Mind Magic",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Debuff",2
257,"Vulnurable To Magic",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,-100,0,0,,,0,0,0,,,,"Debuff",2
258,"Vulnurable To Body Magic",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Debuff",2
259,"Vulnurable To Manipulation Magic",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Debuff",2
260,"Vulnurable To Posion",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,-100,0,0,0,,,0,0,0,,,,"Debuff",2
261,"Fear Ice",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
262,"Fear Fire",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
263,"Fear Air",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
264,"Fear Earth",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
265,"Fear Magic",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
266,"Scare Mount",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
267,"Fearless Mount",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
268,"Human Killer",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
269,"Elf Murderer",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
270,"Dwarf Exterminator",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
271,"Orc Destroyer",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
272,"Goblin Eradicator",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
273,"Halfling Annihilator",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
274,"Animal Butcher",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
275,"Lizardman Eraser",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
276,"Beastman Eliminator",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
277,"Giant Terminator",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
278,"Dragon Slayer",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
279,"Demon Banisher",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
280,"Undead Liberator",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
281,"Fairy Crusher",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
282,"Gremlin Bankrupter",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
283,"Wizard Hunters",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
284,"Vindictive",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
285,"Animal Instinct",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,"Buff",2
286,"Phoenix Blood",1,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,0,,,,"Buff",2
287,"Incorporeal",1,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,0,,,,"Buff",2
288,"Oath Of The Eternal",1,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,0,,,,"Buff",2
289,"Light Vision Intolerance",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Debuff",2
290,"Night Vision Intolerance",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Debuff",2
291,"Nocturnal",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
292,"Willbreaker",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
293,"Adore Melody",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
294,"Loathe Melody",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Debuff",2
295,"Salted Phase",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
296,"Sorrow Of Battle ",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,"Buff",2
297,"Smokey Wings At The Ground",,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
298,"Anti-Smokey Mask",,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
299,"Strong Will",,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,22,0,,,,,2
300,"Fullmoon Jubilance",,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
301,"Halfmoon Preparation",,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
302,"Crescentmoon Sacrifice",,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
303,"Darkmoon Melancholy",,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
304,"Bloodmoon Coming",,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
305,"Assassination",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
306,"Sniping",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
307,"Invisible",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
308,"Full Awareness",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
309,"Partial Awareness",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
310,"True Sight",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
311,"Third Eye",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
312,"True Aims",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
313,"Healing Aura",2,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Area Buff",2
314,"Regeneration",1,,,,,,,,,0,4,6,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
315,"Fast Regeneration",1,,,,,,,,,0,10,15,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
316,"Limb Regeneration",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
317,"Swift Swimmer",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",0
318,"Landlubber",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Debuff",0
319,"Immortal",1,,,,,,,,,,"inf",,,,,,,,,,,,,,,,,,,0,,0,10,,,"Buff",
320,"Gunpowder Weapon",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,13,,,"Buff",0
321,"Camouflage",1,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,"Buff",
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
